Decoder Obj_Detector
0.005590 0.124904
0.004142 0.073984
0.004204 0.078174
0.004081 0.072961
0.004961 0.073305
0.003938 0.071135
0.004675 0.072256
0.004036 0.075849
0.004080 0.075654
0.004067 0.073656
0.003958 0.074463
0.004059 0.071485
0.003918 0.075872
0.004130 0.075913
0.004176 0.071534
0.004989 0.079995
0.004195 0.076860
0.004048 0.075402
0.004085 0.074246
0.004029 0.074770
0.004389 0.073855
0.004525 0.074310
0.004218 0.073838
0.004395 0.079751
0.004119 0.073730
0.004047 0.073667
0.004434 0.076455
0.004024 0.073574
0.004047 0.086899
0.004289 0.077115
0.004355 0.077594
0.004204 0.072812
0.004128 0.074538
0.004143 0.075535
0.003975 0.072742
0.004016 0.075135
0.004420 0.074919
0.004087 0.072874
0.003985 0.081506
0.004094 0.075474
0.004120 0.088462
0.004610 0.070892
0.004124 0.075901
0.005465 0.076438
0.004376 0.073384
0.004021 0.078053
0.005069 0.077356
0.004329 0.071319
0.003931 0.064851
0.004423 0.095970
0.003903 0.064674
0.003873 0.066235
0.003859 0.063082
0.003818 0.065264
0.003775 0.064163
0.003914 0.065544
0.003855 0.064555
0.003917 0.064869
0.003838 0.065355
0.003832 0.064358
0.003791 0.065019
0.003868 0.064884
0.003893 0.066273
0.003899 0.066725
0.003803 0.064594
0.003762 0.063835
0.003816 0.063948
0.003825 0.064806
0.003817 0.064534
0.003964 0.065841
0.003835 0.065038
0.003819 0.063299
0.003940 0.063655
0.003789 0.064748
0.003813 0.064986
0.003848 0.064548
0.003785 0.064145
0.003845 0.066365
0.003900 0.063646
0.003787 0.063309
0.004177 0.066755
0.003899 0.063420
0.003734 0.073035
0.003822 0.071363
0.003817 0.065089
0.003905 0.065414
0.003896 0.064976
0.003849 0.064327
0.003897 0.064606
0.003764 0.065466
0.003884 0.064561
0.003833 0.065136
0.003912 0.064726
0.003859 0.064051
0.003886 0.065659
0.003853 0.065117
0.003798 0.069125
0.003949 0.065726
0.003841 0.064649
0.003737 0.064528
0.003935 0.062339
0.003909 0.070565
0.003787 0.063772
0.003735 0.064782
0.003805 0.064352
0.003733 0.064853
0.003964 0.069528
0.004157 0.068874
0.003950 0.084544
0.004065 0.066459
0.003806 0.068703
0.003928 0.066306
0.003940 0.067224
0.004258 0.070509
0.004150 0.068019
0.003981 0.066136
0.005306 0.080114
0.004102 0.072918
0.003995 0.070632
0.004342 0.076955
0.003944 0.071739
0.004021 0.071360
0.003890 0.080259
0.003901 0.072855
0.004527 0.073543
0.004116 0.073378
0.003984 0.070930
0.003985 0.074737
0.004164 0.076660
0.004002 0.072538
0.003971 0.074601
0.004135 0.087441
0.004001 0.073486
0.004679 0.072979
0.003923 0.074620
0.004065 0.076785
0.004391 0.073963
0.003865 0.094814
0.003991 0.071270
0.004105 0.073552
0.004189 0.072542
0.004093 0.074912
0.004329 0.078060
0.004195 0.087932
0.004193 0.075822
0.004061 0.072582
0.004130 0.072625
0.003971 0.087446
0.004046 0.077718
0.004269 0.076251
0.003944 0.071509
0.004197 0.073406
0.004356 0.075068
0.003976 0.090502
0.004020 0.075423
0.004259 0.075601
0.004151 0.075312
0.004428 0.073117
0.004483 0.072714
0.004332 0.075119
0.004048 0.071750
0.003961 0.076374
0.004333 0.074845
0.003961 0.075519
0.004128 0.074729
0.004230 0.074567
0.004160 0.073744
0.004177 0.074791
0.004138 0.073696
0.004086 0.075963
0.004147 0.073606
0.004151 0.073652
0.004218 0.076791
0.004333 0.076518
0.004618 0.094153
0.004334 0.073896
0.004797 0.076487
0.004192 0.077707
0.004154 0.074462
0.004229 0.075738
0.004098 0.078671
0.004275 0.074727
0.004216 0.074369
0.004187 0.074964
0.004378 0.082750
0.004410 0.072951
0.004110 0.077703
0.004332 0.074123
0.004129 0.074370
0.004316 0.074544
0.004609 0.076050
0.003956 0.076438
0.004112 0.077457
0.004379 0.075857
0.004088 0.076363
0.004133 0.077626
0.004183 0.073832
0.004236 0.079946
0.004384 0.077130
0.004429 0.081554
0.004456 0.077169
0.004335 0.076897
0.004067 0.083128
0.004336 0.075219
0.004714 0.074879
0.004384 0.079339
0.006944 0.098418
0.004418 0.076978
0.004091 0.074866
0.004530 0.076903
0.004138 0.077905
0.004069 0.075262
0.004475 0.075740
0.004338 0.078057
0.004005 0.081172
0.004243 0.073854
0.003997 0.076238
0.004722 0.076619
0.004142 0.075488
0.004120 0.080029
0.004277 0.073646
0.004026 0.075180
0.004171 0.077655
0.004131 0.075442
0.004581 0.076400
0.004184 0.075817
0.004022 0.075953
0.004428 0.077845
0.004068 0.074987
0.004098 0.077448
0.003992 0.075424
0.004089 0.078910
0.004357 0.075596
0.004189 0.077821
0.004414 0.077835
0.005481 0.078357
0.004231 0.077159
0.004175 0.076727
0.004307 0.080330
0.005000 0.090319
0.004277 0.078210
0.004313 0.077432
0.004336 0.077831
0.003967 0.082274
0.004264 0.078441
0.004004 0.080014
0.004550 0.076155
0.004169 0.090858
0.004147 0.078335
0.004121 0.077712
0.004169 0.074709
0.004190 0.074282
0.004264 0.080201
0.004414 0.077849
0.004585 0.078266
0.004081 0.074235
0.004089 0.073199
0.004111 0.070678
0.003945 0.067129
0.004117 0.066317
0.003863 0.065818
0.003848 0.066737
0.003927 0.065513
0.003952 0.067238
0.004386 0.087462
0.003837 0.065314
0.003910 0.065438
0.003831 0.064081
0.003992 0.066790
0.004049 0.067485
0.004006 0.066633
0.003889 0.064604
0.003763 0.087029
0.003778 0.070794
0.003888 0.065392
0.003884 0.066936
0.003794 0.067025
0.003938 0.065885
0.003897 0.066243
0.003792 0.066304
0.003907 0.065084
0.003832 0.067043
0.003992 0.069861
0.003885 0.066604
0.003863 0.067042
0.004012 0.066744
0.003863 0.068193
0.004015 0.063519
0.003808 0.066660
0.004024 0.067016
0.003842 0.064802
0.003856 0.066704
0.004007 0.065214
0.003840 0.065078
0.003806 0.064917
0.003797 0.068365
0.006955 0.065151
0.003884 0.064586
0.003918 0.064202
0.004231 0.066435
0.003833 0.066730
0.003952 0.068280
0.004047 0.067279
0.003970 0.066435
0.004050 0.065965
0.003927 0.066112
0.003987 0.065071
0.003979 0.066507
0.003876 0.066867
0.003979 0.065392
0.003935 0.067841
0.004017 0.065744
0.003993 0.065751
0.004048 0.065880
0.003940 0.067314
0.004026 0.071585
0.004209 0.067507
0.003891 0.064835
0.003917 0.065991
0.004120 0.065924
0.003990 0.067871
0.004004 0.066240
0.004053 0.071798
0.004067 0.069138
0.004070 0.070549
0.004134 0.069043
0.004341 0.109233
0.003853 0.064044
0.003854 0.066415
0.004028 0.067221
0.004202 0.074840
0.004204 0.073908
0.003932 0.064985
0.003809 0.064592
0.003790 0.064824
0.003889 0.070571
0.004053 0.072623
0.004186 0.073668
0.003928 0.067262
0.003983 0.067403
0.004035 0.067441
0.004083 0.080732
0.005277 0.077292
0.004109 0.067274
0.003881 0.064804
0.004052 0.066406
0.004275 0.075071
0.004230 0.066685
0.004043 0.067849
0.004121 0.067217
0.004088 0.071437
0.004435 0.078442
0.004197 0.086096
0.003850 0.065698
0.003864 0.067725
0.003906 0.091575
0.004137 0.084339
0.006665 0.085742
0.003837 0.065930
0.003934 0.065675
0.003797 0.065772
0.003866 0.065249
0.004048 0.067847
0.004249 0.073101
0.004216 0.072353
0.004208 0.068711
