Decoder Obj_Detector
0.038577 0.021751
0.025059 0.012441
0.024681 0.012185
0.043887 0.012919
0.025476 0.012719
0.025620 0.012550
0.025372 0.012093
0.029658 0.012605
0.024788 0.012232
0.026717 0.012313
0.025865 0.012274
0.025098 0.012283
0.025295 0.012052
0.035408 0.022661
0.027674 0.012499
0.027299 0.012729
0.026793 0.012376
0.026337 0.013211
0.027403 0.012005
0.027403 0.012154
0.029989 0.012061
0.027648 0.012335
0.027656 0.012018
0.027298 0.014134
0.032207 0.011957
0.026740 0.012667
0.026383 0.012047
0.027011 0.012515
0.027498 0.012302
0.027338 0.011994
0.026774 0.012344
0.027147 0.012152
0.027092 0.011961
0.028787 0.012961
0.028198 0.013133
0.028149 0.011911
0.028966 0.011907
0.027536 0.012403
0.026867 0.011974
0.027370 0.012049
0.027380 0.011939
0.027752 0.012124
0.027430 0.012819
0.026215 0.012090
0.027890 0.012503
0.027491 0.011800
0.026861 0.011846
0.027408 0.011939
0.027612 0.012221
0.026875 0.012647
0.027402 0.012311
0.028204 0.011923
0.027718 0.011870
0.027629 0.012383
0.026995 0.012256
0.027759 0.012281
0.027467 0.011822
0.027253 0.011772
0.026981 0.011921
0.027466 0.012885
0.026646 0.011936
0.028682 0.012482
0.027859 0.012209
0.027917 0.011924
0.027405 0.011986
0.027428 0.012752
0.027184 0.012137
0.027445 0.012426
0.027271 0.012055
0.027137 0.012289
0.028047 0.013255
0.026953 0.012074
0.027966 0.012740
0.027487 0.013384
0.027610 0.011900
0.027623 0.013300
0.027663 0.012503
0.029371 0.012428
0.032397 0.012187
0.029432 0.013389
0.027387 0.012942
0.033299 0.013051
0.028324 0.012067
0.028253 0.012919
0.026707 0.012974
0.028071 0.012760
0.034893 0.011970
0.029935 0.012232
0.027898 0.012013
0.028466 0.012688
0.028560 0.012621
0.028844 0.012766
0.029503 0.012167
0.031556 0.013848
0.037269 0.012105
0.028472 0.011951
0.027966 0.012120
0.027493 0.012338
0.026936 0.012969
0.029302 0.011859
0.028274 0.011987
0.027727 0.012640
0.028823 0.011955
0.028125 0.012180
0.028571 0.012177
0.028372 0.011844
0.027271 0.012697
0.026991 0.012052
0.027241 0.012375
0.027683 0.012064
0.030104 0.011803
0.026939 0.012258
0.027570 0.012795
0.026615 0.012217
0.026468 0.012232
0.028995 0.012453
0.028386 0.012391
0.028801 0.011916
0.028921 0.012582
0.028777 0.013287
0.029190 0.014412
0.028798 0.012003
0.033597 0.013002
0.027716 0.011825
0.028601 0.011994
0.032621 0.013068
0.027855 0.012468
0.028379 0.012407
0.026292 0.013561
0.027131 0.012838
0.027088 0.011896
0.028105 0.011856
0.032110 0.011934
0.030502 0.011858
0.030389 0.012134
0.028129 0.012764
0.027921 0.013153
0.030012 0.013584
0.027925 0.013629
0.034553 0.012532
0.031009 0.013610
0.026595 0.013539
0.039190 0.012771
0.026740 0.012277
0.027262 0.012463
0.027665 0.011850
0.028701 0.012064
0.027990 0.012677
0.027299 0.013109
0.039944 0.012444
0.026666 0.012215
0.027372 0.012034
0.027343 0.012054
0.050332 0.012272
0.027400 0.012041
0.027901 0.012311
0.028252 0.012652
0.027575 0.012099
0.027044 0.012161
0.029214 0.012187
0.027678 0.012968
0.028241 0.012582
0.027665 0.012268
0.027097 0.012577
0.027204 0.012019
0.028436 0.012252
0.028428 0.012333
0.027012 0.012739
0.026972 0.011973
0.026737 0.011920
0.028233 0.012077
0.028080 0.012221
0.026526 0.012613
0.026250 0.012260
0.026978 0.011757
0.033353 0.011948
0.028387 0.012665
0.027553 0.013020
0.029339 0.012348
0.027527 0.012052
0.027845 0.013574
0.031607 0.013757
0.027992 0.011789
0.027985 0.012345
0.028248 0.012245
0.029304 0.012464
0.034772 0.012932
0.027617 0.012085
0.027030 0.011764
0.028654 0.011950
0.027082 0.012339
0.027270 0.012786
0.038280 0.013338
0.030702 0.012295
0.027820 0.012507
0.034588 0.012175
0.027784 0.012081
0.029615 0.012042
0.029422 0.014760
0.031062 0.014355
0.034891 0.012389
0.031280 0.012505
0.028420 0.012341
0.027966 0.012472
0.028358 0.012550
0.027687 0.013881
0.028352 0.012180
0.029262 0.012796
0.030095 0.014887
0.031415 0.012427
0.028731 0.013055
0.027967 0.012110
0.027689 0.011874
0.029922 0.012015
0.029261 0.012984
0.032367 0.013003
0.032612 0.012196
0.028537 0.012935
0.028904 0.012860
0.028041 0.013688
0.027767 0.012427
0.027829 0.013080
0.027673 0.011843
0.028375 0.012351
0.028181 0.012532
0.028295 0.014656
0.033343 0.012477
0.028350 0.012719
0.028161 0.012326
0.028091 0.011979
0.028947 0.011767
0.028203 0.011947
0.029545 0.012207
0.027974 0.011943
0.029091 0.011832
0.029646 0.012442
0.029596 0.012240
0.027716 0.012607
0.029973 0.012687
0.028481 0.012446
0.029075 0.012051
